area,latitude,longitude,elevation_m,lsi,ofi,avg_slope_deg,distance_km_from_Mulanje
Blantyre_CBD,-15.7861,35.0058,1030,0.38,0.52,6,59.96
Chilobwe,-15.7925,35.0001,1015,0.55,0.78,20,60.20
Ndirande,-15.7279,34.9863,1180,0.61,0.66,30,64.90
Machinjiri,-15.7765,34.9872,1100,0.58,0.63,20,62.22
Bangwe,-15.8041,34.9860,990,0.42,0.74,6,61.03
Zingwangwa,-15.7895,34.9754,985,0.40,0.69,12,62.73
Nancholi,-15.7884,35.0029,1008,0.46,0.62,12,60.13
Chilomoni,-15.7988,35.0022,1002,0.44,0.67,12,59.69
Mbayani,-15.7910,35.0075,1010,0.47,0.64,12,59.56
Chirimba,-15.7912,35.0015,1005,0.45,0.60,6,60.12
Limbe,-15.8317,35.0075,1040,0.41,0.71,20,57.71
South_Lunzu,-15.8670,34.9570,960,0.36,0.68,12,61.51
Kameza,-15.7875,35.0276,1045,0.39,0.55,12,57.81
Chichiri,-15.7936,35.0018,1018,0.48,0.65,6,59.98
Chitawira,-15.7839,35.0023,1022,0.46,0.61,6,60.41
Namiwawa,-15.8011,34.9805,995,0.43,0.66,6,61.70
Manja,-15.7896,35.0021,1015,0.44,0.63,6,60.14
Mount_Pleasant,-15.7867,35.0054,1048,0.37,0.50,6,59.97
Kanjedza,-15.7801,35.0077,1055,0.35,0.48,12,60.08
Mudi,-15.7751,35.0111,1060,0.34,0.46,20,60.01
Nyambadwe,-15.8050,34.9830,1000,0.41,0.68,6,61.28
Chigumula,-15.7900,34.9800,1008,0.45,0.67,6,62.26
BCA,-15.7960,34.9800,995,0.43,0.65,6,61.98
Chiwembe,-15.8000,34.9820,1002,0.42,0.66,12,61.60
Angelogothere,-15.8090,34.9710,980,0.40,0.69,12,62.28
Soche_Hill,-15.83957,35.02336,1525,0.82,0.71,40,55.81
Bvumbwe,-15.91667,35.06667,1145,0.46 (est.),0.60 (est.),30,48.72
Forestry_Kanjedza,-15.82428,34.9836,929,0.35 (same as Kanjedza),0.48 (same as Kanjedza),40,60.39