date,nino34_sst_anomaly
2016-01-01,2.56
2016-02-01,2.11
2016-03-01,1.6
2016-04-01,1.05
2016-05-01,0.45
2016-06-01,0.06
2016-07-01,-0.25
2016-08-01,-0.48
2016-09-01,-0.46
2016-10-01,-0.75
2016-11-01,-0.63
2016-12-01,-0.51
2017-01-01,-0.34
2017-02-01,-0.01
2017-03-01,-0.09
2017-04-01,0.22
2017-05-01,0.3
2017-06-01,0.22
2017-07-01,0.22
2017-08-01,-0.18
2017-09-01,-0.56
2017-10-01,-0.52
2017-11-01,-0.84
2017-12-01,-0.85
2018-01-01,-0.86
2018-02-01,-0.73
2018-03-01,-0.73
2018-04-01,-0.36
2018-05-01,-0.12
2018-06-01,0.12
2018-07-01,0.27
2018-08-01,0.05
2018-09-01,0.3
2018-10-01,0.84
2018-11-01,1.0
2018-12-01,0.97
2019-01-01,0.51
2019-02-01,0.62
2019-03-01,0.81
2019-04-01,0.67
2019-05-01,0.61
2019-06-01,0.66
2019-07-01,0.41
2019-08-01,0.19
2019-09-01,0.11
2019-10-01,0.55
2019-11-01,0.74
2019-12-01,0.51
2020-01-01,0.64
2020-02-01,0.48
2020-03-01,0.36
2020-04-01,0.49
2020-05-01,-0.12
2020-06-01,-0.21
2020-07-01,-0.04
2020-08-01,-0.42
2020-09-01,-0.66
2020-10-01,-1.19
2020-11-01,-1.01
2020-12-01,-0.98
2021-01-01,-1.04
2021-02-01,-0.94
2021-03-01,-0.72
2021-04-01,-0.55
2021-05-01,-0.41
2021-06-01,-0.06
2021-07-01,-0.2
2021-08-01,-0.38
2021-09-01,-0.5
2021-10-01,-0.78
2021-11-01,-0.88
2021-12-01,-1.07
2022-01-01,-0.77
2022-02-01,-0.68
2022-03-01,-0.84
2022-04-01,-0.9
2022-05-01,-1.02
2022-06-01,-0.77
2022-07-01,-0.56
2022-08-01,-0.96
2022-09-01,-1.06
2022-10-01,-0.99
2022-11-01,-0.76
2022-12-01,-0.86
2023-01-01,-0.78
2023-02-01,-0.62
2023-03-01,-0.13
2023-04-01,0.24
2023-05-01,0.47
2023-06-01,0.95
2023-07-01,1.2
2023-08-01,1.56
2023-09-01,1.65
2023-10-01,1.59
2023-11-01,2.01
2023-12-01,1.81